ingredient,skin_type,effect,confidence,strength_hint
huile de graine de rubiginosa,,,,
huile minerale,,,,
huile minérale),,neutral,low,
huile végétale),,,,
hungarian moor mud,,,,
hy-droxyethylcellulose,,,,
hybrid anti-pollution powder,,,,
hydrate,,neutral,low,
hydrated,,neutral,low,
hydrates,,neutral,low,
hydrates the lips,,,,
hydrating,,neutral,low,
hydrating aloe barbensis leaf juice,,,,
hydrating floral essence,,,,
hydrating nectar,,,,
hydrating sugar complex,,,,
hydration barrier complex,,,,
hydro-melt glow capsules,,,,
hydrocolloid bandage,,,,
hydrocolloid dressing,,,,
hydrofluorocarbon 152a,,,,
hydrogen peroxide,,neutral,low,
hydrogenated,,,,
hydrogenated coco glycerides,,,,
hydrogenated coco- glycerides,,,,
hydrogenated licithin,,,,
hydrogenated methyl abeitate,,,,
hydrogenated methyl abietate,,neutral,low,
hydrogenated palm kernel glycer-ides,,,,
hydrolyzed,,,,
hydrolyzed conchiolin protein,,,,
hydrolyzed hemp seed protein,,,,
hydrolyzed potato protein,,,,
hydrolyzed quinoa,,neutral,low,
hydrolyzed sodium,,,,
hydrosella,,,,
hydrosenn+,,,,
hydroviton,,,,
hydroxide,,,,
hydroxyacetophe-none,,,,
hydroxyapatite,,neutral,low,
hydroxycetyl hydroxyethyl dimonium chloride,,,,
hydroxycitronellal,,neutral,low,
hydroxycitronellol,,,,
hydroxyethlcellulose,,,,
hydroxyethyl,,,,
hydroxyethyl behenamidopropyl dimonium chloride,,,,
hydroxyethyl ethylcellulose,,,,
hydroxyethylacrylate sodium acryloyldimethyl taurate,,,,
hydroxyethylcellu-lose,,,,
hydroxyethylcelluclose,,,,
hydroxyethylcellulose,,neutral,low,
hydroxyhydrocinnamate,,,,
hydroxyphenyl,,,,
hydroxypropl methylcellulose,,,,
hydroxypropyl guar,,neutral,low,
hydroxypropyl methylcellulose,,neutral,low,
hydroxypropyl methylcellulose stearoxy ether,,neutral,low,
hydroxypropylcellulose,,neutral,low,
hydroxypropylmethylcellulose,,,,
hydroxypropylmethylcellulose stearoxyether,,,,
hydroxystearicacid,,,,
hyperpigmentation,,,,
hypromellose,,,,
ichthammol,,,,
idealist extra pore min skin refin division,,,,
ikaria in greece,,,,
il-1a,,,,
ilite,,,,
illawarra,,,,
illuminating minerals and diamond powder,,,,
illuminating pearl,,,,
improving fine lines and wrinkles,,,,
improving the look of line and wrinkles,,,,
impurities,,,,
including dullness,,neutral,low,
including pollution and blue light,,,,
increases luminosity,,,,
increases moisture,,,,
increases the appearance of firmness and elasticity,,,,
inctive ingredients,,,,
indian sarsparilla,,,,
indigo powder,,,,
indigofera tinctoria,,,,
indole,,,,
inflamed,,,,
inflammation,,,,
infrared rays,,,,
ingred,,,,
ingredients,,neutral,low,
ingredients ingrédients,,,,
intensely hydrated skin sodium bicarbonate,,,,
intensely hydrates,,,,
invertase,,,,
iodine,,,,
iodopropynyl butylcarbamate,,neutral,low,
iodopropynyl butylcarbamate *certified organic,,,,
ionic trace minerals,,,,
iris root,,,,
irish moor mud,,,,
irish moss,,,,
iron,,neutral,low,
iron hydroxide,,,,
iron powder,,neutral,low,
irritation,,,,
is shown to moisturize and soothe dry,,,,
isethionate,,,,
isoamyl salicylate,,,,
isoborneol,,,,
isobutane,,neutral,low,
isobutylparaben,,neutral,low,
isobutylparben,,,,
isohexadecane,,neutral,low,
isojasmone,,,,
isolated,,,,
isoparaffin,,,,
isopentane,,neutral,low,
isopropanolamine,,,,
isopropyl titanium triisostearrate,,,,
isopropyl titianium triisostearate,,,,
isopropylparaben,,neutral,low,
isopulegol,,,,
isostearyl,,,,
isostearyl iso-stearate,,,,
it hydrates and plumps the look of skin,,,,
it soothes,,,,
it’s shown to moisturize and soothe dry,,,,
it’s used for its soothing,,,,
jackson hole wild chokecherry,,,,
jackson hole wild huckleberry,,,,
jamaican superfruit blend,,,,
japanese beautyberry,,,,
japanese konjac,,,,
japanese kyo-matcha,,,,
japanese leopard lily,,,,
japanese mugwort,,,,
japanese white peony,,,,
japanese white rose stem cells,,,,
japanese wild rose,,,,
jartbiome,,,,
jasmine,,,,
jasminum officinale,,,,
jasminum sambac,,,,
jasminum sambac absolute,,,,
java fruit,,,,
jicama root juice,,,,
jisten,,,,
juglans regia shell powder,,neutral,low,
juju bar,,,,
juvenescence+ complex,,,,
kakadu plum,,neutral,low,
kale,,neutral,low,
kangaroo flower and mitracarpus,,,,
keep pores clean,,,,
keeps pores clean,,,,
kelp,,,,
kelp and soy,,,,
kelp minerals,,,,
kgf,,,,
known for their skin conditioning and antioxidant properties,,,,
known to purify the skin aqua,,,,
kombucha,,neutral,low,
konnyaku,,,,
korean traditional herb complex,,,,
kurenai-trulift complex,,,,
labrador tea,,,,
lactase,,,,
lady's mantle,,neutral,low,
lait de chèvre),,,,
laryl pca,,,,
lauramide dea,,,,
lauramide dipa,,neutral,low,
lauramide mipa,,,,
laureth- 7,,,,
laureth-1 phosphate,,,,
laureth-10,,,,
laureth-21,,,,
laureth-23,,neutral,low,
laureth-3,,neutral,low,
laureth-4,,neutral,low,
laureth-7,,neutral,low,
laureth-8,,neutral,low,
laureth-9,,,,
lauric arginate,,,,
lauroyl lactylate,,,,
lauryl glucoside,,neutral,low,
lauryl phosphate,,,,
lavender,,neutral,low,
lavender & rose,,,,
lavender citrus,,,,
lavender essence and natural sage,,,,
lavender hydrosol,,,,
leaf aqueous infusion,,,,
leaf of life,,,,
leaves,,,,
lechithin,,,,
lentil fruit,,,,
leptadenia reticulata,,,,
levan,,neutral,low,
licorice,,,,
lift,,neutral,low,
lifted,,,,
lifts,,,,
light-diffusing powders,,,,
light-diffusing spheres,,,,
light-reflecting complex,,,,
light-scattering compound,,,,
lily,,,,
lime,,neutral,low,
lime tea,,neutral,low,
lime tea concentrate,,neutral,low,
limone,,,,
linden,,,,
lingonberry,,neutral,low,
linseedate,,,,
lippia citriodora,,,,
liquid,,,,
liquid hydrogel,,,,
litchi chinensis seed powder,,,,
lithothamnion calcareum powder,,,,
lock in moisture,,,,
locks in moisture,,,,
lodh tree bark,,neutral,low,
long grain white rice flour,,neutral,low,
long-term hydration with a plumping effect,,,,
longer,,,,
longoza flower,,neutral,low,
longoza-ferments blend,,,,
loosening and lifting dry,,,,
loss of firmness,,neutral,low,
lotus flower,,neutral,low,
lotus seed,,,,
low,,,,
lsoamyl laurate,,,,
luffa cylindrica fruit powder,,,,
lumicol,,,,
luminizing black mask,,,,
lunarlift,,,,
lycium,,,,
lécithine hydrogénée,,,,
macadamia,,,,
macrotyloma uniflorum,,,,
madecassic a-cid,,,,
madecassosida,,,,
magne,,,,
magnolol,,neutral,low,
maintains hydration,,,,
makeup,,,,
maldavian dragonhead,,,,
malic,,neutral,low,
maltase,,,,
maltitol,,neutral,low,
maltodexrin,,,,
maltodextrim,,,,
maltol,,,,
malus domestica,,,,
mandelic,,,,
manganese,,,,
manganese violet,,neutral,low,
manjishta,,,,
manjistha,,,,
mannan,,neutral,low,
maqui,,,,
maracuja,,,,
maranta arundinacea root powder,,neutral,low,
marine actives,,neutral,low,
marine bamboo,,,,
marine bioferments,,,,
marine fennel,,,,
marine metabolites,,,,
marine plankton,,,,
maritime pine complex,,,,
marrubium vulgare meristem cell culture,,neutral,low,
marula,,,,
mask,,,,
mastic,,,,
matcha,,,,
matsu-prosculpt complex,,,,
maxi-lip,,,,
maycontain,,,,
meadowestolide,,,,
medical-grade silicone,,,,
medium,,,,
medium-tan,,,,
mel,,neutral,low,
melaleuca,,neutral,low,
melanin,,neutral,low,
melanin boosters,,,,
melatonin,,neutral,low,
melon fruit concentrate,,,,
menadione,,neutral,low,
mentha pulegium,,,,
mentha viridis,,neutral,low,
menthyl lactate,,neutral,low,
mesua ferrea,,,,
methyl anthranilate,,,,
methyl diisopropyl propionamide,,neutral,low,
methyl ether dimethyl silane,,,,
methyl lactate,,,,
methyl methacrylate,,,,
methyl nonafluorobutyl ether,,neutral,low,
methyl nonfluoroisobutyl ether,,,,
methyl perfluorobutyl ether,,neutral,low,
methyl perfluoroisobutyl ether,,,,
methylcellulose,,,,
methylchloroisothiazolinone,,neutral,low,
methyldihydrojasmonate,,neutral,low,
methylisothia- zolinone,,,,
methylisothiazolinone,,neutral,low,
methylparaben,,neutral,low,
methylparaben *pitera,,,,
methylproanediol,,,,
mg-pca,,,,
mica,,neutral,low,
mica *certified organic,,,,
mica ci 77019,,neutral,low,
micellar cleansing blend,,,,
micellar cleansing complex,,,,
micro essence skin act treat lot division,,,,
micro-foaming botanical blend,,,,
micro-size aluminum oxide crystals,,,,
micronized powders,,,,
miel),,,,
mild tensides,,,,
milk thistle,,,,
mimosa,,,,
mineral and chemical sunscreens,,,,
mineral powder,,,,
mineral spf,,,,
mineral spf 50,,,,
mineral sunscreen,,neutral,low,
mineral-based complex,,,,
minerals,,neutral,low,
minimize the look of pores,,,,
minimizes dark spots,,,,
minimizes pores,,,,
mitracarpus,,,,
mn-pca,,,,
moisture,,,,
moisture-preserving veil,,,,
moisturize,,neutral,low,
moisturizes,,neutral,low,
moisturizing,,neutral,low,
moisturizing agent,,,,
mondo root,,,,
monk juice,,,,
montmorillonoite,,neutral,low,
mood-boosting,,,,
mop up sebum,,,,
more even,,,,
more even-looking,,,,
more even-toned look -centella asiatica,,,,
more resilient,,,,
moringa,,neutral,low,
moringa and papaya,,,,
moroccan rose,,neutral,low,
msm,,,,
mulberry leaf,,,,
multi-amino-acid blend,,,,
multi-mineral active,,,,
multi-sized moisture spheres,,neutral,low,
multivitamins,,,,
murumuru seed,,,,
mustard,,neutral,low,
myristoyl,,,,
myristyl glucoside,,neutral,low,
myristyl laurate,,neutral,low,
myrrh,,neutral,low,
nacre powder,,,,
napiers aqua formula,,,,
napiers moisture formula,,,,
napier’s original and aqua formulas,,,,
natural 8-acid complex,,,,
natural abaca tree fiber,,,,
natural cinnamon flavor,,,,
natural cleansing agents produced by plants,,,,
natural colorant,,,,
natural flavor,,,,
natural flavors,,neutral,low,
natural oat kernel sugars,,,,
natural phytosteroid,,,,
natural prebiotics from agave and chicory,,,,
natural-looking,,,,
nelumbium nucifera,,,,
nelumbo nucifera,,,,
nephrite powder,,neutral,low,
nerol,,neutral,low,
nerol),,,,
neutralize harmful free-radical damage,,,,
nitrogen *plant origin,,,,
nmf replenishing cocktail,,,,
nmt,,,,
non-comedogenic,,,,
nonanal,,,,
noni fruit,,,,
nonoxynol-10,,,,
nordic birch sap,,,,
northern truffle mushroom,,,,
nourish,,neutral,low,
nourishes,,neutral,low,
nourishing,,neutral,low,
np),,,,
nurture,,,,
nurtures,,neutral,low,
nutgrass,,neutral,low,
nutritious vitality8 egy lot int m division,,,,
nylon 6 12,,,,
nylon- 12,,,,
nylon-6,,,,
o-cymen- 5-ol,,,,
o-cymen-5-ol,,neutral,low,
oat,,neutral,low,
oat and alpha glucan,,,,
oat fiber powder,,,,
oat kernel meal,,,,
oat kernel protein,,,,
oat milk,,,,
oat sugars,,,,
oc-tyldodecanol,,,,
ocimum,,,,
ocimum sanctum,,,,
octadecene,,neutral,low,
octanal,,,,
octanediol,,,,
octdecyl di-t-butyl-4 hydroxyhydrocinnamate,,,,
octoxynol-9,,neutral,low,
octyl dodecanol,,,,
octyldodeceth-16,,neutral,low,
octyldodeceth-25,,,,
octyldodecyl steroyl stearate,,,,
octyldodecyl xyloside,,,,
octylododeceth-16,,,,
oenothera biennis seed,,,,
oleamide mipa,,neutral,low,
oleic,,,,
oleth-10,,neutral,low,
oleth-10 phosphate,"oily,pigmentation",good,medium,
oleth-2,,,,
oleth-20,,neutral,low,
oleth-3 phosphate,"oily,pigmentation",good,medium,
oleth-5,,neutral,low,
olibanum,,,,
olive,,neutral,low,
olive fruit pulp,,,,
olive glyceridees,,,,
omega 3 and 6,,neutral,low,
omega-9,,,,
omegas 3 and 6,,,,
opilia,,,,
opuntia ficus indica,,neutral,low,
orange,,neutral,low,
orange 4 rds product name,,,,
orange 5,,,,
orange juice,,,,
orange peel,,,,
orange stem cell,,,,
orange stem cells,,,,
oregon grape root,,,,
organic **natural,,,,
organic aloe leaf juice,,,,
organic flavors,,,,
organic guarana,,,,
organic mango flavor,,,,
organic monk fruit powder,,,,
organic natural mixed berry flavor,,,,
organic oat sugars,,,,
organic rice hulls,,,,
organic-7,,,,
oryza sativa,,,,
oryza sativa 2,,,,
oryza sativa bran,,,,
oryza sativa powder,,neutral,low,
oryza sativa seed protein,,,,
osmolytes,,,,
other ingredients,,neutral,low,
outer silk,,,,
ozokerite,,neutral,low,
packette 2,,,,
padina pavonica,,neutral,low,
pafum,,,,
palm-iticacid,,,,
palmarosa,,,,
palmitoyal carnitine,,,,
palmitoyl hydroxypropyltrimonium,,,,
pan-thenol,,neutral,low,
panthenyl ethyl ether,,,,
panthenyl triacetate,,neutral,low,
papain,,neutral,low,
papaya + pineapple),,,,
papaya enzyme,"oily,pigmentation",good,low,
paraffin,,neutral,low,
paraguay,,,,
parmelia perlata,,,,
passion flower,,,,
patch,,,,
pea sprouts,,,,
peach resin,,,,
pearl face mask,,,,
pearl light powder,,,,
pearl powder,,neutral,low,
pearlescent minerals,,,,
pearlescent shine,,,,
pectin,,neutral,low,
pectinase,,,,
peg,,,,
peg 100 stearate,,,,
peg ppg-50 40 dimethyl ether,,,,
peg ppg-8 3 diisostearate,,,,
peg-2 cocamide,,,,
peg-2 laurate,,,,
peg-25 glyceryl trioleate,,,,
peg-2m,,,,
peg-3 distearate,,neutral,low,
peg-30 phytosterol,,neutral,low,
peg-30 soy sterol,,,,
peg-5 rapeseed sterol,,neutral,low,
pentaerythirityl tetraethylhexanoate,,,,
pentaerythrityl,,,,
pentaerythrityl adipate caprate caprylate heptanoate,,,,
pentaerythrityl tetra-di-t-butyl,,,,
pentaerythrityl tetra-di-t-butyl hydroxyhydrocinamate,,,,
pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,,neutral,low,
pentaerythrityl tetra-di-t-butylhydroxyhydrocinnamate,,,,
pentaerythrityl tetrathylhexanoate,,,,
pentafluoropropane,,neutral,low,
pentasodium triphosphate,"oily,pigmentation",good,medium,
pentavitin,,,,
pentlyene glycol,,,,
penty- lene glycol,,,,
pentylene,,neutral,low,
pentyleneglycol,,neutral,low,
perfectionist cp+r division,,,,
perfectionist pro rpd frm+lift trt division,,,,
perfluorodecalin,,neutral,low,
perfluorohexane,,neutral,low,
perlite,,neutral,low,
persea gratissima (extra virgin,,,,
persian silk tree and mediterranean lavender,,,,
persian silk tree bark,,,,
phas,,,,
phaseolous trilobus,,,,
phaseolus angularis seed powder,,,,
pheno- xyethano,,,,
pheno-xyethanol,,,,
phenolic compounds,,,,
phenoxy- ethanol,,,,
phenoxyethanol,,neutral,low,
phenoxyethanol *certified organic,,neutral,low,
phenoxyethanol <iln33544>,,,,
phenoxyethanol rds product name,,neutral,low,
phenoxyethanol* hadasei-3,,,,
"phenoxyethanol,carbomer",,,,
phenoxyisopropanol,,neutral,low,
phenoxythanol,,,,
phenylalalnine,,,,
phenylpropanol,,neutral,low,
phosphate,,,,
phthalates,,,,
phtosphingosine,,neutral,low,
phyllostachis,,,,
physical exfoliants,,,,
phytase),,,,
phytelephas aequatorialis seed powder,,,,
phytic,,,,
phytoactives from resurrection plant,,,,
phytoestrogens,,,,
phytonadione,,neutral,low,
phytoncide,,,,
phytospingosine,,,,
phytosteryl,,,,
phytosteryl isostearate,,,,
phytosteryl sunflowerseedate,,,,
pigmentation,,,,
pimples,,,,
pineapple,"oily,pigmentation",good,low,
pineapple and papaya,,,,
pineapple enzyme,,,,
pineapple face mask,,,,
pineapple natural melange,,,,
pink pepper,,,,
pink pepperslim,,,,
pink salt,,,,
piperonyl glucoside,,,,
piroctone olamine,,neutral,low,
pistacia integerrima,,,,
pitera,,,,
plankton,,,,
plant based m6p glycan,,,,
plant epidermal growth factor,,,,
plant probiotics,,,,
plant stem cells,,,,
plant-based,,,,
plant-based antimicrobials,,,,
plant-based emollients,,,,
plant-based hydration complex,,,,
plant-based plumping agent,,,,
plant-based plumping complex,,,,
plant-derived matrix,,,,
plant-derived protection,,,,
plant-derived sodium phytate,,,,
plantarum l-137),,,,
plum,,,,
plum and ice willowherb,,,,
plumeria rubra flower,,,,
plump,,neutral,low,
plump oleactif,,,,
plump-,,,,
plumps,,,,
polish,,,,
pollutants,,,,
pollution,,,,
pollution residue,,,,
pollution shield complex,,,,
polox- amer 407,,,,
poloxamer 123,,,,
poloxamer 188,,neutral,low,
poloxamer 235,,,,
poloxamer 407,,neutral,low,
pomegranate,,,,
pomegranate spheres,,,,
pomegranate stem cells,,,,
pomegranate sterols,,,,
poredermabrasion pore perfecting exfoliator,,,,
pores,,neutral,low,
pores no more pore refiner primer,,,,
porphyridium cruentum,,,,
potassium,,,,
potassium behenate,,,,
potassium bitartrate,,,,
potassium carbonate,,neutral,low,
potassium cetyl phos-phate,,,,
potassium cetyl phosphate,"oily,pigmentation",good,medium,
potassium chl-oride,,,,
potassium cocoate,,neutral,low,
potassium cocoyl glycinate,,neutral,low,
potassium gluconate,,neutral,low,
potassium hydroxide,,neutral,low,
potassium hydroxidw,,,,
potassium laurate,,neutral,low,
potassium laureth phosphate,,,,
potassium methoxysalicylate,,neutral,low,
potassium myristate,,neutral,low,
potassium myristoyl glutamate,,,,
potassium olivate,,neutral,low,
potassium palm kernelate,,,,
potassium palmate,,,,
potassium palmitate,,neutral,low,
potassium phosphate,"oily,pigmentation",good,medium,
potassium sorbet,,,,
potassium sterate,,,,
potassiumsorbate,,,,
potent botanical blend,,,,
powder,,,,
ppg-2 hydroxyethyl cocamide,,neutral,low,
ppg-5-ceteth-10 phosphate,"oily,pigmentation",good,medium,
ppg-8 ceteth-20,,,,
prebiotic,,neutral,low,
prebiotic moisture complex,,,,
prebiotics,,neutral,low,
prebiotics and postbiotics,,,,
preforpro prebiotic,,,,
prevent moisture loss,,,,
preventing moisture loss,,,,
priyangu,,,,
pro- and postbiotics,,,,
pro-level,,,,
pro-xylane,,neutral,low,
probiotic,,neutral,low,
probiotic-derived complex,,,,
probiotics,,neutral,low,
profense cel,,,,
prolinamidoethyl imidazole,,,,
promote hydration,,,,
promotes reproductive health,,,,
promoting hydration while calming irritation aqua,,,,
promoting strong,,,,
propa nediol,,,,
propane,,,,
propane- diol,,,,
propanol,,,,
propyl -2- -propanoate,,,,
propyl gallate,,neutral,low,
propylene,,,,
propylene carbonate,,neutral,low,
propylene gylcol,,,,
propylparaben,,neutral,low,
protect against environmental stressors,,,,
protect against stressors,,,,
protect the skin barrier,,,,
protecting against dryness aqua,,neutral,low,
protects,,neutral,low,
protects skin from further damage,,,,
proteins,,,,
provide visible anti-wrinkle benefits,,,,
provides long-lasting moisture,,,,
proxylane gx,,,,
prunus cerasoides,,,,
prunus cerasus shell powder,,,,
ptfe,,neutral,low,
pueraria tuberosa,,,,
puffiness,,,,
punarnava,,,,
pure colloidal silver,,,,
pure hydrogen peroxide,,,,
pure rosehip seed,,,,
purifies,,,,
purify pores,,,,
purify skin,,,,
purity made simple cleanser,,,,
purple sea moss,,,,
pushkarmool,,,,
pvp,,neutral,low,
pyroglutamylamidoethyl indole,,,,
quartz,,neutral,low,
quartz powder,,neutral,low,
quartz sand micro-crystals,,,,
"quartz,hematite powder",,,,
quaternium-15,,neutral,low,
quaternium-22,,neutral,low,
quaternium-90 sepiolite,,,,
r2 sheet mask division,,,,
radiance,,,,
radiation,,neutral,low,
rashes,,,,
raspberry,,,,
red 27,,neutral,low,
red 27 lake,,neutral,low,
red 28,,,,
red bell pepper,,,,
red lake 40,,,,
red maple bark,,,,
redensyl,,,,
redness,,,,
reduce irritation,,,,
reduce redness,,neutral,low,
reduce shine,,,,
reduce stress-related effects on the body,,,,
reduce the look of dark spots,,,,
reduce visible redness,,neutral,low,
reducing blemish-causing sebum,,neutral,low,
reducing the signs of inflammation,,,,
refine,,,,
refines,,,,
refines pores,,neutral,low,
refresh,,neutral,low,
refreshes the skin,,,,
regenerates,,,,
regenerating cleanser,,,,
reishi,,neutral,low,
reishi mushroom,,,,
reishi mushrooms,,,,
rejuvenating serum,,,,
relax the body,,,,
relaxing,,,,
relieve,,,,
relieving skin discomfort caused by dryness,,neutral,low,
removes impurities,,,,
removing bacteria,,,,
ren does not use skin unfriendly ingredients,,,,
ren products do not contain potential irritants including,,,,
renewed,,,,
repairative moisturizer,,,,
repels free radicals,,,,
replenish,,,,
replenish moisture,,,,
replenishes,,,,
res lift firm sclp face nc spf15 division,,,,
res lift frm sclp eye creme division,,,,
restore barrier,,,,
restore clarity,,,,
restore natural ph,,,,
restore skin barrier,,,,
restores,,neutral,low,
restores skin barrier,,,,
restores suppleness,,,,
resulting in a brighter-,,,,
resurfacing mask,,,,
resurrection plant,,,,
retain moisture,,,,
revealing radiant,,,,
revitalizes,,neutral,low,
revitalizing supreme+ cell pwr crm division,,,,
revive dull skin,,,,
rhodiola rosea,,,,
riboflavin,,neutral,low,
rice,,neutral,low,
rice bran,,neutral,low,
rice flour,,neutral,low,
rice hulls,,,,
rice powder,,,,
rich emollients,,,,
rich omegas,,,,
ricinoleth-40,,neutral,low,
rooibos,,,,
rosa damascena,,,,
rosa damascena absolute,,,,
rosa damascena flower,,,,
rosa meichibon delgramaue callus,,,,
rosa moschata seed,,,,
rosa roxburghii,,,,
rosa spp,,,,
rose,,,,
rose absolute,,,,
rose face mask,,,,
rose of jericho,,,,
rose quartz,,,,
rose quartz crystal,,,,
rose scent,,,,
rose sucrée,,,,
rosehip,"dry,pigmentation",good,low,
rosemary,,neutral,low,
rosemary + saffron,,,,
royal epigen p5,,,,
rubia cordifolia,,,,
rye flour,,,,
saccarhide isomerate,,,,
saccharide hydrolyase,,neutral,low,
saccharide isomarate,,,,
saccharin,,neutral,low,
sacha inchi,,,,
safflower,,neutral,low,
safflower oleosomes,,neutral,low,
saffron,,neutral,low,
sake bright white mask,,,,
sakura-bright complex,,,,
sakura-bright system,,,,
salicornia,,neutral,low,
salicylate,,,,
salvia officinalis,,,,
salvia officinalis leaf,,neutral,low,
sandalwood,,,,
saw palmetto,,neutral,low,
scalp,,,,
schisandra berry powder°,,,,
schisandra fruit,,,,
sclareolide,,neutral,low,
scottish heather,,,,
sea aster,,,,
sea lavender,,,,
sea moss,,neutral,low,
seal in moisture,,,,
sebocytine,,,,
sebum-absorbing powder and cleansing granules,,,,
selaginella lepidophylla extr- act,,,,
self-tanner,,,,
semen benincasae herb,,,,
sensitive skin,,neutral,low,
sensitivity,,,,
shatavari root powder°,,,,
shell,,,,
shielding skin from digital pollution-induced,,,,
shiso,,,,
shiso leaf,,,,
shorea robusta,,,,
siam benzoin resinoid,,,,
sichuan pepper,,,,
signs of stress,,,,
silicon dioxide,,neutral,low,
silicone dioxide,,,,
silicone quaternium-8,,,,
silicone wrap,,,,
silver ear mushroom,,neutral,low,
silver plated iron,,,,
silver-plated iron,,,,
skin density,,,,
skin regenerating activ,,,,
skin-buffing,,,,
skin-friendly cleansing blend,,,,
skin-like treated pigments,,,,
skin-restoring ),,,,
skingenecellenmei,,neutral,low,
skullcap,,neutral,low,
sloughs off dead cells,,,,
smooth,,neutral,low,
smooth skin as a marine phytoactive,,,,
smooth spheres that gently exfoliate away dead,,,,
smooth texture,,neutral,low,
smoother,,neutral,low,
smoother skin,,,,
smoother-looking,,,,
smoothing its texture,,neutral,low,
smoothness,,,,
smooths,,neutral,low,
smooths away surface dullness,,,,
smooths fine lines,,,,
smooths skin,,,,
smooths texture,,,,
smooths the appearance of skin texture,,,,
smooths the look of the skin’s surface,,,,
smooths uneven texture,,,,
snow mushroom,,neutral,low,
sodium,,neutral,low,
sodium acetylated hyaluraonate,,,,
sodium acryloyldimethyl taurate,,,,
sodium anisate,,neutral,low,
sodium benzate,,neutral,low,
sodium bicarbonate,,neutral,low,
sodium bisulfite,,neutral,low,
sodium borate,,,,
sodium c12-15 pareth-15 sulfonate,,,,
sodium c14•16 olefin sulfonate,,,,
sodium carboxymethyl betaglucan,,neutral,low,
sodium chlo- ride,,,,
sodium coco pg-dimonium chloride phosphate,"oily,pigmentation",good,medium,
sodium coco-sulfate,,neutral,low,
sodium cocoamphoacetate,,neutral,low,
sodium cocoamphohydroxypropylsulfonate,,,,
sodium cocoate,,,,
sodium cocoyl alaninate,,neutral,low,
sodium cocoyl glutamate,,neutral,low,
sodium cocoyl glycinate,,neutral,low,
sodium cocoylglutamate,,,,
sodium dehyrdoacetate,,,,
sodium diglycolate,,,,
sodium dihydroacetate,,,,
sodium gluceptate,,neutral,low,
sodium glycero-phosphate,,,,
sodium glycerophosphata,,,,
sodium glycerophosphate,"oily,pigmentation",good,medium,
sodium glycyrrhetinate,,,,
sodium hexametaphosphate,"oily,pigmentation",good,medium,
sodium hydroxypropylphosphate,,,,
sodium hylauronate,,,,
sodium isostearate,,neutral,low,
sodium lauroyl aspartate,,,,
sodium lauroyl glutamate,,neutral,low,
sodium lauroyl lactate,,,,
sodium lauroyl lactylate,,neutral,low,
sodium lauroyl methylaminopropionate,,neutral,low,
sodium lauroylglutamate,,,,
sodium lauryl phosphate,,,,
sodium lauryl sulfoacetate,,neutral,low,
sodium lignosulfonate,,,,
sodium metabisul_te,,,,
sodium metabisulfate,,,,
sodium metabisulfite,,neutral,low,
sodium metabisulte,,,,
sodium metabisul­te,,,,
sodium metaphosphate,"oily,pigmentation",good,medium,
sodium methyl cocoyl taurate,,neutral,low,
sodium methylparaben,,,,
sodium myristate,,,,
sodium myristoyl glutamate,,,,
sodium olivate,,,,
sodium oxide,,,,
sodium palm kernelate,,,,
sodium palmamphoacetate,,,,
sodium palmitate,,neutral,low,
sodium palmoyl glutamate,,,,
sodium pantothenate,,,,
sodium phytate,,neutral,low,
sodium saccharin,,neutral,low,
sodium succinate,,neutral,low,
sodium sulfite,,neutral,low,
sodium sulfite *certified organic,,,,
sodium surfactin,,neutral,low,
sodium trideceth-4 carboxylate,,,,
sodiumcitrate,,,,
sodiumhya-luronate,,,,
sodiumlauroyl lactylate,,,,
soft,,neutral,low,
soft aura white cocktail complex,,,,
soften,,neutral,low,
soften the look of fine lines,,,,
soften the skin,,,,
softening,,,,
softens,,neutral,low,
softens look of wrinkles,,neutral,low,
softer,,,,
solanum indicum linn,,,,
solanum xanthocarpum,,,,
solomon's seal powder,,,,
sooth,,,,
soothe,,neutral,low,
soothe irritated skin,,,,
soothe skin,,,,
soothe the skin,,,,
soothes,,neutral,low,
soothes redness,,,,
soothes skin,,neutral,low,
soothing,,neutral,low,
soothing antioxidants,,,,
soothing canadian willowherb,,,,
soothing emollient that hydrates and protects skin aqua,,,,
soothing moisture -blackcurrant,,,,
sorbate,,,,
sorbeth-230 tetraoleate,,,,
sorbitan caprylate,,neutral,low,
sorbitan laurate,,neutral,low,
sorbitan oleate,,neutral,low,
sorbitan stearate,,neutral,low,
sorbitan trioleate,,neutral,low,
sorbitan tristearate,,neutral,low,
sorbitan tristearatee,,,,
sorbiton olivate,,,,
sorrel,,,,
sourced from natural origins,,,,
soy letcithin,,,,
soy proteins,,,,
soya proteins,,,,
soybean,,,,
soyethyl morpholinium ethosulfate,,,,
spanish lavender,,,,
spf 45,,,,
spf 50,,neutral,low,
spf 50+ uva uvb,,,,
spinach,,neutral,low,
star aster,,,,
star flower,,,,
starch,,,,
starch octenylsuccinate,,,,
steapyrium chloride,,neutral,low,
stearamide amp,,neutral,low,
stearamidoethyl diethylamine,,neutral,low,
stearamidopropyl dimethylamine,,neutral,low,
steareth-10,,neutral,low,
steareth-100,,neutral,low,
steareth-30,,,,
steareth-4,,neutral,low,
stearoyl glutamate,,,,
steartrimonium bromide,,,,
stearyl ether,,,,
stearyl phosphate,,,,
stearyl stearate,,neutral,low,
stearyl triethoxysilane,,,,
stem,,,,
step 01 super booster,,,,
